Boku Inc.,Boku Inc.
"Lynda.com, Inc.","Lynda.com, Inc."
AutoTrader Group,#N/A
"Rag & Bone Holdings, LLC",#N/A
oDesk Corporation,oDesk Corporation
Shazam Entertainment Ltd,#N/A
"Wawa, Inc.",#N/A
"mophie, LLC",#N/A
"TaskRabbit, Inc.","TaskRabbit, Inc."
"ModCloth, Inc",#N/A
"Ebsco Industries, Inc.","Ebsco Industries, Inc."
"Buddy Media, Inc.",#N/A
"Rue La La, Inc.","Rue La La, Inc."
Sierra Nevada Brewing Co.,#N/A
Eddie Bauer LLC,Eddie Bauer LLC
"Whataburger Restaurants, LP","Whataburger Restaurants, LP"
Bacardi Limited,Bacardi Limited
"Practice Fusion, Inc.","Practice Fusion, Inc."
Amway,Amway
"Lookout, Inc.","Lookout, Inc."
Guthy-Renker LLC,Guthy-Renker LLC
"DocuSign, Inc.","DocuSign, Inc."
"Braintree Payment Solutions, LLC","Braintree Payment Solutions, LLC"
"Flipboard, Inc.","Flipboard, Inc."
"Care.com, Inc.","Care.com, Inc."
Pebble Technology Corp.,Pebble Technology Corp.
Giorgio Armani S.p.A.,#N/A
Blackboard Inc.,Blackboard Inc.
VitaCoco,#N/A
Eileen Fisher Inc.,Eileen Fisher Inc.
Kohler Co.,Kohler Co.
"FanDuel, Inc.",#N/A
"Elance, Inc.","Elance, Inc."
Cengage Learning Inc.,Cengage Learning Inc.
Canada Goose Inc.,#N/A
The ServiceMaster Company,The ServiceMaster Company
Apigee Corp.,Apigee Corp.
"Icon Health & Fitness, Inc.","Icon Health & Fitness, Inc."
"Houzz, Inc.",#N/A
"Square, Inc.","Square, Inc."
Razer Inc.,Razer Inc.
"Blue Jeans Network, Inc.",#N/A
"Carlson Companies, Inc.",#N/A
"Prosper Marketplace, Inc.","Prosper Marketplace, Inc."
"1Life Healthcare, Inc.","1Life Healthcare, Inc."
Stella & Dot LLC,#N/A
"Zimride, Inc.",#N/A
"Arbonne International, LLC","Arbonne International, LLC"
"Equinox Holdings, Inc.",#N/A
AppNexus Inc.,AppNexus Inc.
"Glam Media, Inc.","Glam Media, Inc."
Red Bull Company Limited,#N/A
PlentyofFish Media Inc.,#N/A
"Appirio, Inc.",#N/A
Xe Services LLC,Xe Services LLC
"ShoeDazzle.com, Inc.",#N/A
"Popchips, Inc",#N/A
"Dropcam, Inc.",#N/A
Blue Diamond Growers,Blue Diamond Growers
"Boar's Head Provisions Co., Inc.","Boar's Head Provisions Co., Inc."
CH2M Hill Ltd.,CH2M Hill Ltd.
ideeli Inc.,ideeli Inc.
"ACN, Inc.","ACN, Inc."
Goya Foods Inc.,Goya Foods Inc.
Carhartt Inc.,#N/A
"Laureate Education, Inc.","Laureate Education, Inc."
Lush Limited,Lush Limited
Path Inc.,Path Inc.
