"Enterprise Holdings, Inc."
E&J Gallo Winery
Gazelle
"Fab, Inc."
"Euro-Pro Operating, LLC"
"Lutron Electronics Company, Inc."
"Maker Studios, Inc."
ProQuest LLC
"Ashley Furniture Industries, Inc."
Good Technology Corporation
QuikTrip Corporation
Lumosity
"SoulCycle, LLC"
"Brooks Brothers, Inc."
"Zaarly, Inc."
Aldo Group Inc.
"HEB Grocery Company, LP"
Booz & Company Inc.
"Fisker Automotive, Inc."
"2U, Inc."
"IMG Worldwide, Inc."
"David's Bridal, Inc."
Sierra Nevada Corporation
Boston Market Corporation
"HubSpot, Inc."
Ace Hardware Corporation
"HootSuite Media, Inc."
"Menard, Inc."
Hightail Inc.
Lending Club
"INFOR, Inc."
"37signals, LLC"
In-N-Out Burgers Inc.
Wayfair LLC
"Ellucian Inc,"
"Leap Motion, Inc."
"SAS Institute, Inc."
"Coupons.com, Inc."
The Weather Channel Companies
"Cook Group, Inc."
"Aereo, Inc."
Sephora S.A.
Arthrex Inc.
Alibaba Group Holding Ltd.
"Wegmans Food Markets, Inc."
"180 Medical, Inc."
FitnessKeeper Inc.
"VIZIO, Inc."
Blue Bottle Coffee Company
Zazzle Inc.
"AliveCor, Inc."
Clif Bar & Company
Harpo Inc.
"Panda Restaurant Group, Inc."
"Zoosk, Inc."
"Medline Industries, Inc."
"The Schwan Food Company, LLC"
"CKE Restaurants, Inc."
"Telogis, Inc."
"Recreational Equipment, Inc"
LEGO A/S
"Kabbage, Inc."
Fanjul Corp.
IMS Health Incorporated
"Biomet, Inc."
"1 Source Consulting, Inc."
"Blue Buffalo Company, Ltd."
Ultimate Fighting Championship
Levi Strauss & Co.
McMaster-Carr Supply Co.
Coyote Logistics LLC
"Adaptive Planning, Inc."
"CrossFit, Inc."
National Football League
JustFab LLC
GoDaddy.com
"Gallup, Inc."
"Mobile Iron, Inc."
"Harvest Power, Inc."
Dave & Busters Inc
Yammer
Epic Systems Corporation
"Method Products, Inc."
Net-A-Porter Group Limited
Chrysler Group LLC
Turn Inc.
"SunRun, Inc."
"Love's Travel Stops & Country Stores, Inc."
YouTube
Bechtel Corporation
"Sheetz, Inc."
"2020 Company, LLC"
"OPOWER, Inc."
"Stripe, Inc."
"Rdio, Inc"
Better World Books
add ventures
Tory Burch LLC
Knowledge Universe Education LP
Smashburger Master LLC
Tribune Company
U.S. Foods
"24 Hour Fitness Worldwide, Inc."
Weber-Stephen Products LLC
Trump Organization
Bloom Energy Corporation
Quiznos
Beachbody LLC
"Euromarket Designs, Inc."
A. T. Kearney Inc.
"Fry's Electronics, Inc."
First Data Corporation
Advance Publications Inc.
SurveyMonkey
"BI-LO Holding, LLC"
Pilot Flying J Inc.
